competition,gender, game, rank, name, nation,,
athletics,M,200 metres,1948 London,2, Barney Ewell, USA,
athletics,M,200 metres,1948 London,3, Lloyd LaBeach, PAN,
athletics,M,200 metres,1952 Helsinki,1, Andy Stanfield, USA,
athletics,M,200 metres,1952 Helsinki,2, Thane Baker, USA,
athletics,M,200 metres,1952 Helsinki,3, James Gathers, USA,
athletics,M,200 metres,1956 Melbourne,1, Bobby Morrow, USA,
athletics,M,200 metres,1956 Melbourne,2, Andy Stanfield, USA,
athletics,M,200 metres,1956 Melbourne,3, Thane Baker, USA,
athletics,M,200 metres,1960 Rome,1, Livio Berruti, ITA,
athletics,M,200 metres,1960 Rome,2, Lester Carney, USA,
athletics,M,200 metres,1960 Rome,3, Abdoulaye Seye, FRA,
athletics,M,200 metres,1964 Tokyo,1, Henry Carr, USA,
athletics,M,200 metres,1964 Tokyo,2, Paul Drayton, USA,
athletics,M,200 metres,1964 Tokyo,3, Edwin Roberts, TRI,
athletics,M,200 metres,1968 Mexico City,1, Tommie Smith, USA,
athletics,M,200 metres,1968 Mexico City,2, Peter Norman, AUS,
athletics,M,200 metres,1968 Mexico City,3, John Carlos, USA,
athletics,M,200 metres,1972 Munich,1, Valeriy Borzov, URS,
athletics,M,200 metres,1972 Munich,2, Larry Black, USA,
athletics,M,200 metres,1972 Munich,3, Pietro Mennea, ITA,
athletics,M,200 metres,1976 Montreal,1, Don Quarrie, JAM,
athletics,M,200 metres,1976 Montreal,2, Millard Hampton, USA,
athletics,M,200 metres,1976 Montreal,3, Dwayne Evans, USA,
athletics,M,200 metres,1980 Moscow,1, Pietro Mennea, ITA,
athletics,M,200 metres,1980 Moscow,2, Allan Wells, GBR,
athletics,M,200 metres,1980 Moscow,3, Don Quarrie, JAM,
athletics,M,200 metres,1984 Los Angeles,1, Carl Lewis, USA,
athletics,M,200 metres,1984 Los Angeles,2, Kirk Baptiste, USA,
athletics,M,200 metres,1984 Los Angeles,3, Thomas Jefferson, USA,
athletics,M,200 metres,1988 Seoul,1, Joe DeLoach, USA,
athletics,M,200 metres,1988 Seoul,2, Carl Lewis, USA,
athletics,M,200 metres,1988 Seoul,3, Robson da Silva, BRA,
athletics,M,200 metres,1992 Barcelona,1, Michael Marsh, USA,
athletics,M,200 metres,1992 Barcelona,2, Frankie Fredericks, NAM,
athletics,M,200 metres,1992 Barcelona,3, Michael Bates, USA,
athletics,M,200 metres,1996 Atlanta,1, Michael Johnson, USA,
athletics,M,200 metres,1996 Atlanta,2, Frankie Fredericks, NAM,
athletics,M,200 metres,1996 Atlanta,3, Ato Boldon, TRI,
athletics,M,200 metres,2000 Sydney,1, Konstantinos Kenteris, GRE,
athletics,M,200 metres,2000 Sydney,2, Darren Campbell, GBR,
athletics,M,200 metres,2000 Sydney,3, Ato Boldon, TRI,
athletics,M,200 metres,2004 Athens,1, Shawn Crawford, USA,
athletics,M,200 metres,2004 Athens,2, Bernard Williams, USA,
athletics,M,200 metres,2004 Athens,3, Justin Gatlin, USA,
athletics,M,200 metres,2008 Beijing,1, Usain Bolt, JAM,
athletics,M,200 metres,2008 Beijing,2, Shawn Crawford, USA,
athletics,M,200 metres,2008 Beijing,3, Walter Dix, USA,
athletics,M,200 metres,2012 London,1, Usain Bolt, JAM,
athletics,M,200 metres,2012 London,2, Yohan Blake, JAM,
athletics,M,200 metres,2012 London,3, Warren Weir, JAM,
athletics,M,400 metres,1896 Athens,1, Thomas Burke, USA,
athletics,M,400 metres,1896 Athens,2, Herbert Jamison, USA,
athletics,M,400 metres,1896 Athens,3, Charles Gmelin, GBR,
athletics,M,400 metres,1900 Paris,1, Maxie Long, USA,
athletics,M,400 metres,1900 Paris,2, William Holland, USA,
athletics,M,400 metres,1900 Paris,3, Ernst Schultz, DEN,
athletics,M,400 metres,1904 St. Louis,1, Harry Hillman, USA,
athletics,M,400 metres,1904 St. Louis,2, Frank Waller, USA,
athletics,M,400 metres,1904 St. Louis,3, Herman Groman, USA,
athletics,M,400 metres,1908 London,1, Wyndham Halswelle, GBR,
athletics,M,400 metres,1912 Stockholm,1, Charles Reidpath, USA,
athletics,M,400 metres,1912 Stockholm,2, Hanns Braun, GER,
athletics,M,400 metres,1912 Stockholm,3, Edward Lindberg, USA,
athletics,M,400 metres,1920 Antwerp,1, Bevil Rudd, RSA,
athletics,M,400 metres,1920 Antwerp,2, Guy Butler, GBR,
athletics,M,400 metres,1920 Antwerp,3, Nils Engdahl, SWE,
athletics,M,400 metres,1924 Paris,1, Eric Liddell, GBR,
athletics,M,400 metres,1924 Paris,2, Horatio Fitch, USA,
athletics,M,400 metres,1924 Paris,3, Guy Butler, GBR,
athletics,M,400 metres,1928 Amsterdam,1, Ray Barbuti, USA,
athletics,M,400 metres,1928 Amsterdam,2, James Ball, CAN,
athletics,M,400 metres,1928 Amsterdam,3, Joachim Büchner, GER,
athletics,M,400 metres,1932 Los Angeles,1, Bill Carr, USA,
athletics,M,400 metres,1932 Los Angeles,2, Ben Eastman, USA,
athletics,M,400 metres,1932 Los Angeles,3, Alex Wilson, CAN,
athletics,M,400 metres,1936 Berlin,1, Archie Williams, USA,
athletics,M,400 metres,1936 Berlin,2, Godfrey Brown, GBR,
athletics,M,400 metres,1936 Berlin,3, James LuValle, USA,
athletics,M,400 metres,1948 London,1, Arthur Wint, JAM,
athletics,M,400 metres,1948 London,2, Herb McKenley, JAM,
athletics,M,400 metres,1948 London,3, Mal Whitfield, USA,
athletics,M,400 metres,1952 Helsinki,1, George Rhoden, JAM,
athletics,M,400 metres,1952 Helsinki,2, Herb McKenley, JAM,
athletics,M,400 metres,1952 Helsinki,3, Ollie Matson, USA,
athletics,M,400 metres,1956 Melbourne,1, Charles Jenkins, USA,
athletics,M,400 metres,1956 Melbourne,2, Karl-Friedrich Haas, EUA,
athletics,M,400 metres,1956 Melbourne,3, Voitto Hellstén, FIN,
athletics,M,400 metres,1960 Rome,1, Otis Davis, USA,
athletics,M,400 metres,1960 Rome,2, Carl Kaufmann, EUA,
athletics,M,400 metres,1960 Rome,3, Malcolm Spence, RSA,
athletics,M,400 metres,1964 Tokyo,1, Mike Larrabee, USA,
athletics,M,400 metres,1964 Tokyo,2, Wendell Mottley, TRI,
athletics,M,400 metres,1964 Tokyo,3, Andrzej Badeński, POL,
athletics,M,400 metres,1968 Mexico City,1, Lee Evans, USA,
athletics,M,400 metres,1968 Mexico City,2, Larry James, USA,
athletics,M,400 metres,1968 Mexico City,3, Ron Freeman, USA,
athletics,M,400 metres,1972 Munich,1, Vincent Matthews, USA,
athletics,M,400 metres,1972 Munich,2, Wayne Collett, USA,
athletics,M,400 metres,1972 Munich,3, Julius Sang, KEN,
athletics,M,400 metres,1976 Montreal,1, Alberto Juantorena, CUB,
athletics,M,400 metres,1976 Montreal,2, Fred Newhouse, USA,
athletics,M,400 metres,1976 Montreal,3, Herman Frazier, USA,
athletics,M,400 metres,1980 Moscow,1, Viktor Markin, URS,
athletics,M,400 metres,1980 Moscow,2, Rick Mitchell, AUS,
athletics,M,400 metres,1980 Moscow,3, Frank Schaffer, GDR,
athletics,M,400 metres,1984 Los Angeles,1, Alonzo Babers, USA,
athletics,M,400 metres,1984 Los Angeles,2, Gabriel Tiacoh, CIV,
athletics,M,400 metres,1984 Los Angeles,3, Antonio McKay, USA,
athletics,M,400 metres,1988 Seoul,1, Steve Lewis, USA,
athletics,M,400 metres,1988 Seoul,2, Butch Reynolds, USA,
athletics,M,400 metres,1988 Seoul,3, Danny Everett, USA,
athletics,M,400 metres,1992 Barcelona,1, Quincy Watts, USA,
athletics,M,400 metres,1992 Barcelona,2, Steve Lewis, USA,
athletics,M,400 metres,1992 Barcelona,3, Samson Kitur, KEN,
athletics,M,400 metres,1996 Atlanta,1, Michael Johnson, USA,
athletics,M,400 metres,1996 Atlanta,2, Roger Black, GBR,
athletics,M,400 metres,1996 Atlanta,3, Davis Kamoga, UGA,
athletics,M,400 metres,2000 Sydney,1, Michael Johnson, USA,
athletics,M,400 metres,2000 Sydney,2, Alvin Harrison, USA,
athletics,M,400 metres,2000 Sydney,3, Greg Haughton, JAM,
athletics,M,400 metres,2004 Athens,1, Jeremy Wariner, USA,
athletics,M,400 metres,2004 Athens,2, Otis Harris, USA,
athletics,M,400 metres,2004 Athens,3, Derrick Brew, USA,
athletics,M,400 metres,2008 Beijing,1, LaShawn Merritt, USA,
athletics,M,400 metres,2008 Beijing,2, Jeremy Wariner, USA,
athletics,M,400 metres,2008 Beijing,3, David Neville, USA,
athletics,M,400 metres,2012 London,1, Kirani James, GRN,
athletics,M,400 metres,2012 London,2, Luguelín Santos, DOM,
athletics,M,400 metres,2012 London,3, Lalonde Gordon, TRI,
athletics,M,800 metres,1896 Athens,1, Edwin Flack, AUS,
athletics,M,800 metres,1896 Athens,2, Nándor Dáni, HUN,
athletics,M,800 metres,1896 Athens,3, Dimitrios Golemis, GRE,
athletics,M,800 metres,1900 Paris,1, Alfred Tysoe, GBR,
athletics,M,800 metres,1900 Paris,2, John Cregan, USA,
athletics,M,800 metres,1900 Paris,3, David Hall, USA,
athletics,M,800 metres,1904 St. Louis,1, James Lightbody, USA,
athletics,M,800 metres,1904 St. Louis,2, Howard Valentine, USA,
athletics,M,800 metres,1904 St. Louis,3, Emil Breitkreutz, USA,
athletics,M,800 metres,1908 London,1, Mel Sheppard, USA,
athletics,M,800 metres,1908 London,2, Emilio Lunghi, ITA,
athletics,M,800 metres,1908 London,3, Hanns Braun, GER,
athletics,M,800 metres,1912 Stockholm,1, Ted Meredith, USA,
athletics,M,800 metres,1912 Stockholm,2, Mel Sheppard, USA,
athletics,M,800 metres,1912 Stockholm,3, Ira Davenport, USA,
athletics,M,800 metres,1920 Antwerp,1, Albert Hill, GBR,
athletics,M,800 metres,1920 Antwerp,2, Earl Eby, USA,
athletics,M,800 metres,1920 Antwerp,3, Bevil Rudd, RSA,
athletics,M,800 metres,1924 Paris,1, Douglas Lowe, GBR,
athletics,M,800 metres,1924 Paris,2, Paul Martin, SUI,
athletics,M,800 metres,1924 Paris,3, Schuyler Enck, USA,
athletics,M,800 metres,1928 Amsterdam,1, Douglas Lowe, GBR,
athletics,M,800 metres,1928 Amsterdam,2, Erik Byléhn, SWE,
athletics,M,800 metres,1928 Amsterdam,3, Hermann Engelhard, GER,
athletics,M,800 metres,1932 Los Angeles,1, Tommy Hampson, GBR,
athletics,M,800 metres,1932 Los Angeles,2, Alex Wilson, CAN,
athletics,M,800 metres,1932 Los Angeles,3, Phil Edwards, CAN,
athletics,M,800 metres,1936 Berlin,1, John Woodruff, USA,
athletics,M,800 metres,1936 Berlin,2, Mario Lanzi, ITA,
athletics,M,800 metres,1936 Berlin,3, Phil Edwards, CAN,
athletics,M,800 metres,1948 London,1, Mal Whitfield, USA,
athletics,M,800 metres,1948 London,2, Arthur Wint, JAM,
athletics,M,800 metres,1948 London,3, Marcel Hansenne, FRA,
athletics,M,800 metres,1952 Helsinki,1, Mal Whitfield, USA,
athletics,M,800 metres,1952 Helsinki,2, Arthur Wint, JAM,
athletics,M,800 metres,1952 Helsinki,3, Heinz Ulzheimer, GER,
athletics,M,800 metres,1956 Melbourne,1, Tom Courtney, USA,
athletics,M,800 metres,1956 Melbourne,2, Derek Johnson, GBR,
athletics,M,800 metres,1956 Melbourne,3, Audun Boysen, NOR,
athletics,M,800 metres,1960 Rome,1, Peter Snell, NZL,
athletics,M,800 metres,1960 Rome,2, Roger Moens, BEL,
athletics,M,800 metres,1960 Rome,3, George Kerr, BWI,
athletics,M,800 metres,1964 Tokyo,1, Peter Snell, NZL,
athletics,M,800 metres,1964 Tokyo,2, Bill Crothers, CAN,
athletics,M,800 metres,1964 Tokyo,3, Wilson Kiprugut, KEN,
athletics,M,800 metres,1968 Mexico City,1, Ralph Doubell, AUS,
athletics,M,800 metres,1968 Mexico City,2, Wilson Kiprugut, KEN,
athletics,M,800 metres,1968 Mexico City,3, Tom Farrell, USA,
athletics,M,800 metres,1972 Munich,1, Dave Wottle, USA,
athletics,M,800 metres,1972 Munich,2, Yevgeniy Arzhanov, URS,
athletics,M,800 metres,1972 Munich,3, Mike Boit, KEN,
athletics,M,800 metres,1976 Montreal,1, Alberto Juantorena, CUB,
athletics,M,800 metres,1976 Montreal,2, Ivo Van Damme, BEL,
athletics,M,800 metres,1976 Montreal,3, Rick Wohlhuter, USA,
athletics,M,800 metres,1980 Moscow,1, Steve Ovett, GBR,
athletics,M,800 metres,1980 Moscow,2, Sebastian Coe, GBR,
athletics,M,800 metres,1980 Moscow,3, Nikolay Kirov, URS,
athletics,M,800 metres,1984 Los Angeles,1, Joaquim Cruz, BRA,
athletics,M,800 metres,1984 Los Angeles,2, Sebastian Coe, GBR,
athletics,M,800 metres,1984 Los Angeles,3, Earl Jones, USA,
athletics,M,800 metres,1988 Seoul,1, Paul Ereng, KEN,
athletics,M,800 metres,1988 Seoul,2, Joaquim Cruz, BRA,
athletics,M,800 metres,1988 Seoul,3, Saïd Aouita, MAR,
athletics,M,800 metres,1992 Barcelona,1, William Tanui, KEN,
athletics,M,800 metres,1992 Barcelona,2, Nixon Kiprotich, KEN,
athletics,M,800 metres,1992 Barcelona,3, Johnny Gray, USA,
athletics,M,800 metres,1996 Atlanta,1, Vebjørn Rodal, NOR,
athletics,M,800 metres,1996 Atlanta,2, Hezekiél Sepeng, RSA,
